Id,Last Name,Last Name,Class,Email
0,Vania,Kaludova,10A,vkaludova@abv.bg
1,Gavrail,Zhivkov,10A,gvzhivkov@salll.bg
2,Vania,Velikova,10B,smds@pargo.jel
3,Aleksandra,Riko,10K,shkalriko@jak.bg
4,Martin,Gaorgiev,10V,MAGaorgiev18@codingburgas.bg
5,Beroslav,Rimpov,10A,berimpov18@codingburgas.bg
6,Yeno,Kochetkova,10B,YAKochetkova18@codingburgas.bg
7,Vishko,Krushovska,10G,VFKrushovska18@codingburgas.bg
8,Zori,Ilieva,10V,ZOIlieva18@codingburgas.bg
9,Avgust,Vuzvuzov,10A,amvuzvuzov18@codingburgas.bg
10,Inko,Popov,10B,ILPopov18@codingburgas.bg
11,Kasidi,Chervenkova,10B,kbchervenkova18@codingburgas.bg
12,Bogdan,Kolev,10V,bjkolev18@codingburgas.bg
13,Martin,Benkov,10A,mebenkov18@codingburgas.bg
14,Georgi,Qnkov,10V,lifeplaymc@gmail.com
15,Ivana,Patronova,10A,agdokov@dsds.bg
16,Nencho,Filetov,10B,nefiletoc18@codingburgas.bg
17,Dimitar,Velikov,10A,dkferop@codingburgas.bg
18,Sami,Klokarov,10V,playkoj@kasd.bg
19,Linus,Torvalds,10G,amvuzvuzov18@vgb.bg
20,Qnko,Lopatarov,10A,somertuk@codingburgas.bg
